complaint_id,complaint_text,category
674,"In BTM Layout, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. Many people in the neighborhood are very frustrated with this issue. We request the concerned department to take immediate action.",Road & Potholes
675,"In Whitefield, garbage trucks have not come since yesterday morning. People are throwing waste on the roadside as there is no proper collection. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
676,"After the recent rains, the road surface in Malleshwaram has completely worn out, and there are cracks and uneven patches everywhere. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
677,Uncollected garbage is piling up on the streets in Rajajinagar for many weeks continuously. The overflowing dustbins are attracting stray animals and insects. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.,Garbage & Sanitation
678,"The road in Malleshwaram is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
679,Open garbage dumping near the residential area in Electronic City is causing a foul smell and unhygienic conditions. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.,Garbage & Sanitation
680,"There is a major leakage in the main water pipeline near Hebbal, resulting in wastage of thousands of litres of water every day. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
681,There has been no regular water supply in Rajajinagar for almost a week. People are struggling to manage even basic needs like drinking and cooking. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.,Water Supply
682,"Water pressure in Jayanagar is extremely low late at night, and the tanks do not get filled even after several hours. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Water Supply
683,"A small factory near Hebbal is releasing dark smoke and foul smell in the morning, severely affecting the air quality in the locality. Residents have complained multiple times but no proper action is taken. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
684,"Streetlights in Indiranagar have not been working since last night, and the entire stretch becomes pitch dark after sunset. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
685,"In Electronic City, garbage trucks have not come for the past 10 days. People are throwing waste on the roadside as there is no proper collection. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
686,"There is no proper timetable or digital display for bus timings in Electronic City, so passengers have no idea when the next bus will come. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
687,Uncollected garbage is piling up on the streets in Koramangala since yesterday morning. The overflowing dustbins are attracting stray animals and insects. This is causing inconvenience to office-goers and school children. Kindly register this as a complaint and share the action taken details.,Garbage & Sanitation
688,"In Rajajinagar, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. The situation is getting worse day by day and needs urgent attention. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
689,Auto drivers operating from Hebbal are refusing to go by meter and are charging very high fares from passengers. Residents have complained multiple times but no proper action is taken. Please send a team to inspect the problem and fix it at the earliest.,Public Transport
690,"There are frequent power cuts in Koramangala early in the morning, and no proper schedule is communicated to the residents. It is becoming very difficult for us to manage our daily routine. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
691,"There is a major leakage in the main water pipeline near MG Road, resulting in wastage of thousands of litres of water every day. This is causing inconvenience to office-goers and school children. Kindly register this as a complaint and share the action taken details.",Water Supply
692,"There are frequent power cuts in Whitefield in the evening, and no proper schedule is communicated to the residents. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
693,"There is a major leakage in the main water pipeline near Whitefield, resulting in wastage of thousands of litres of water every day. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Water Supply
694,Open garbage dumping near the residential area in Jayanagar is causing a foul smell and unhygienic conditions. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.,Garbage & Sanitation
695,"The bus stop in Electronic City has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Public Transport
696,"In Koramangala, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Water Supply
697,"People in Sarjapur Road are burning dry leaves and plastic waste in the morning, leading to thick smoke and breathing problems for residents. Because of this issue, people are scared to go out after dark. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
698,"The transformer near Jayanagar is making a loud buzzing noise during office hours, and people fear it might be faulty or overloaded. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
699,"In Whitefield, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Water Supply
700,"In Jayanagar, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Many people in the neighborhood are very frustrated with this issue. We request the concerned department to take immediate action.",Water Supply
701,"In Whitefield, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
702,"The main road in Banashankari is full of deep potholes since last night. Vehicles are getting damaged and it is very risky for two-wheelers. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Road & Potholes
703,"In Hebbal, garbage trucks have not come for many weeks continuously. People are throwing waste on the roadside as there is no proper collection. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Garbage & Sanitation
704,"Buses starting from Basavanagudi are always overcrowded during office hours, making it difficult for elderly people and women to board. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.",Public Transport
705,"There is no proper timetable or digital display for bus timings in Sarjapur Road, so passengers have no idea when the next bus will come. Because of this issue, people are scared to go out after dark. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
706,Auto drivers operating from Koramangala are refusing to go by meter and are charging very high fares from passengers. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.,Public Transport
707,"Streetlights in Banashankari have not been working for the past 10 days, and the entire stretch becomes pitch dark after sunset. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
708,"Streetlights in BTM Layout have not been working for the last 2 days, and the entire stretch becomes pitch dark after sunset. Many people in the neighborhood are very frustrated with this issue. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
709,"Construction work on the road in Indiranagar has been left incomplete for many weeks continuously, causing huge traffic jams and inconvenience. This is affecting our work and health on a daily basis. We would be grateful if this issue is treated as high priority.",Road & Potholes
710,"In Indiranagar, construction work continues during peak traffic time, including weekends, causing constant noise and stress for people living nearby. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
711,"In BTM Layout, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
712,"In Jayanagar, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. It is becoming very difficult for us to manage our daily routine. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
713,"In Yelahanka, wet and dry waste are not being collected separately, leading to a huge mess and mixing of all kinds of waste. It is becoming very difficult for us to manage our daily routine. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
714,"In Basavanagudi, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Streetlights & Electricity
715,"In Electronic City, garbage trucks have not come for more than two weeks. People are throwing waste on the roadside as there is no proper collection. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
716,"A small factory near Sarjapur Road is releasing dark smoke and foul smell around midnight, severely affecting the air quality in the locality. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
717,"Streetlights in Basavanagudi have not been working for more than two weeks, and the entire stretch becomes pitch dark after sunset. Senior citizens and children are facing a lot of problems. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
718,"In Yelahanka, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
719,"Construction work on the road in Malleshwaram has been left incomplete since last night, causing huge traffic jams and inconvenience. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.",Road & Potholes
720,"Residents of Electronic City have noticed that garbage is being burned in an open plot during office hours, creating a lot of smoke and health issues. Residents have complained multiple times but no proper action is taken. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
721,Open garbage dumping near the residential area in Yelahanka is causing a foul smell and unhygienic conditions. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.,Garbage & Sanitation
722,"In Koramangala, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Senior citizens and children are facing a lot of problems. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
723,"Electric wires are hanging very low from the electric poles in Basavanagudi, creating a serious safety hazard for people walking nearby. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Streetlights & Electricity
724,"There are frequent power cuts in Indiranagar late at night, and no proper schedule is communicated to the residents. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
725,"There are very few buses available from Yelahanka in the morning, and passengers are forced to wait for a long time at the bus stop. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Public Transport
726,Uncollected garbage is piling up on the streets in Electronic City for the past 10 days. The overflowing dustbins are attracting stray animals and insects. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.,Garbage & Sanitation
727,"In Malleshwaram, construction work continues in the evening, including weekends, causing constant noise and stress for people living nearby. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
728,"There is no proper speed breaker near the school zone in Sarjapur Road, and vehicles are moving at high speed, posing a danger to children. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
729,"People in Electronic City are burning dry leaves and plastic waste in the evening, leading to thick smoke and breathing problems for residents. Senior citizens and children are facing a lot of problems. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
730,"Residents of Banashankari have noticed that garbage is being burned in an open plot during office hours, creating a lot of smoke and health issues. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
731,"Construction work on the road in Indiranagar has been left incomplete since yesterday morning, causing huge traffic jams and inconvenience. Residents have complained multiple times but no proper action is taken. Kindly look into this matter and resolve it as soon as possible.",Road & Potholes
732,"A small factory near Banashankari is releasing dark smoke and foul smell during office hours, severely affecting the air quality in the locality. This is affecting our work and health on a daily basis. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
733,"There are frequent power cuts in Malleshwaram early in the morning, and no proper schedule is communicated to the residents. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Streetlights & Electricity
734,"In Malleshwaram, construction work continues around midnight, including weekends, causing constant noise and stress for people living nearby. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
735,"Uncollected garbage is piling up on the streets in Whitefield for the past 10 days. The overflowing dustbins are attracting stray animals and insects. Because of this issue, people are scared to go out after dark. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
736,The main road in Malleshwaram is full of deep potholes for the last 2 days. Vehicles are getting damaged and it is very risky for two-wheelers. Residents have complained multiple times but no proper action is taken. Kindly register this as a complaint and share the action taken details.,Road & Potholes
737,"In Whitefield, garbage trucks have not come since yesterday morning. People are throwing waste on the roadside as there is no proper collection. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Garbage & Sanitation
738,"In Yelahanka, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
739,"Loudspeakers from a function hall in Basavanagudi are playing music at very high volume during peak traffic time, disturbing the entire neighborhood. Residents have complained multiple times but no proper action is taken. Kindly look into this matter and resolve it as soon as possible.",Noise & Pollution
740,"There is no proper timetable or digital display for bus timings in Yelahanka, so passengers have no idea when the next bus will come. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
741,"In Koramangala, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
742,"The bus stop in Whitefield has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Public Transport
743,"Construction work on the road in Jayanagar has been left incomplete for almost a week, causing huge traffic jams and inconvenience. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Road & Potholes
744,"The transformer near Malleshwaram is making a loud buzzing noise during peak traffic time, and people fear it might be faulty or overloaded. Many people in the neighborhood are very frustrated with this issue. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
745,"Buses starting from MG Road are always overcrowded during office hours, making it difficult for elderly people and women to board. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Public Transport
746,"In Rajajinagar, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
747,"Residents of Jayanagar have noticed that garbage is being burned in an open plot early in the morning, creating a lot of smoke and health issues. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
748,The main road in Sarjapur Road is full of deep potholes since yesterday morning. Vehicles are getting damaged and it is very risky for two-wheelers. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.,Road & Potholes
749,"A small factory near Electronic City is releasing dark smoke and foul smell early in the morning, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
750,"Water pressure in MG Road is extremely low in the morning, and the tanks do not get filled even after several hours. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
751,"In Jayanagar, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Road & Potholes
752,"Streetlights in Koramangala have not been working for almost a week, and the entire stretch becomes pitch dark after sunset. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Streetlights & Electricity
753,"Streetlights in Rajajinagar have not been working for almost a week, and the entire stretch becomes pitch dark after sunset. Residents have complained multiple times but no proper action is taken. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
754,"There are frequent power cuts in Yelahanka around midnight, and no proper schedule is communicated to the residents. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
755,"Water pressure in Whitefield is extremely low late at night, and the tanks do not get filled even after several hours. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Water Supply
756,"In Koramangala, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Water Supply
757,"The road in Jayanagar is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
758,"There has been no regular water supply in Sarjapur Road for the last 2 days. People are struggling to manage even basic needs like drinking and cooking. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Water Supply
759,"The bus stop in BTM Layout has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Public Transport
760,"Loudspeakers from a function hall in MG Road are playing music at very high volume around midnight, disturbing the entire neighborhood. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Noise & Pollution
761,"There is no proper timetable or digital display for bus timings in Sarjapur Road, so passengers have no idea when the next bus will come. Residents have complained multiple times but no proper action is taken. Kindly look into this matter and resolve it as soon as possible.",Public Transport
762,There has been no regular water supply in Whitefield for many weeks continuously. People are struggling to manage even basic needs like drinking and cooking. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.,Water Supply
763,"There are frequent power cuts in Sarjapur Road early in the morning, and no proper schedule is communicated to the residents. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
764,"Uncollected garbage is piling up on the streets in Rajajinagar for the last 2 days. The overflowing dustbins are attracting stray animals and insects. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Garbage & Sanitation
765,"In Sarjapur Road, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.",Water Supply
766,Auto drivers operating from Jayanagar are refusing to go by meter and are charging very high fares from passengers. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.,Public Transport
767,"In Basavanagudi, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
768,"Buses starting from Hebbal are always overcrowded during office hours, making it difficult for elderly people and women to board. This is affecting our work and health on a daily basis. We would be grateful if this issue is treated as high priority.",Public Transport
769,"Residents of Yelahanka have noticed that garbage is being burned in an open plot in the morning, creating a lot of smoke and health issues. Because of this issue, people are scared to go out after dark. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
770,"In Indiranagar, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
771,"In Indiranagar, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
772,"In Electronic City, construction work continues late at night, including weekends, causing constant noise and stress for people living nearby. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.",Noise & Pollution
773,"In MG Road, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is causing inconvenience to office-goers and school children. Kindly address this problem before it leads to any serious incident.",Water Supply
774,Uncollected garbage is piling up on the streets in Electronic City for the past 10 days. The overflowing dustbins are attracting stray animals and insects. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.,Garbage & Sanitation
775,"Residents of Indiranagar have noticed that garbage is being burned in an open plot late at night, creating a lot of smoke and health issues. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Garbage & Sanitation
776,"Electric wires are hanging very low from the electric poles in Electronic City, creating a serious safety hazard for people walking nearby. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
777,Uncollected garbage is piling up on the streets in MG Road for the past 10 days. The overflowing dustbins are attracting stray animals and insects. This is affecting our work and health on a daily basis. We hope the authorities will respond soon and provide a permanent solution.,Garbage & Sanitation
778,"In MG Road, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.",Water Supply
779,Auto drivers operating from Whitefield are refusing to go by meter and are charging very high fares from passengers. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.,Public Transport
780,"After the recent rains, the road surface in Jayanagar has completely worn out, and there are cracks and uneven patches everywhere. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
781,"Streetlights in MG Road have not been working since yesterday morning, and the entire stretch becomes pitch dark after sunset. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.",Streetlights & Electricity
782,"Loudspeakers from a function hall in Jayanagar are playing music at very high volume during office hours, disturbing the entire neighborhood. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
783,"In Koramangala, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.",Water Supply
784,"Streetlights in Indiranagar have not been working since last night, and the entire stretch becomes pitch dark after sunset. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
785,The main road in Rajajinagar is full of deep potholes since yesterday morning. Vehicles are getting damaged and it is very risky for two-wheelers. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.,Road & Potholes
786,"In Rajajinagar, construction work continues during office hours, including weekends, causing constant noise and stress for people living nearby. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
787,"Loudspeakers from a function hall in Sarjapur Road are playing music at very high volume during office hours, disturbing the entire neighborhood. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Noise & Pollution
788,"People in Rajajinagar are burning dry leaves and plastic waste late at night, leading to thick smoke and breathing problems for residents. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Noise & Pollution
789,"After the recent rains, the road surface in Koramangala has completely worn out, and there are cracks and uneven patches everywhere. Because of this issue, people are scared to go out after dark. Kindly address this problem before it leads to any serious incident.",Road & Potholes
790,"Buses starting from Basavanagudi are always overcrowded during office hours, making it difficult for elderly people and women to board. This is causing inconvenience to office-goers and school children. We request the concerned department to take immediate action.",Public Transport
791,"Buses starting from Rajajinagar are always overcrowded during office hours, making it difficult for elderly people and women to board. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
792,"There is no proper speed breaker near the school zone in Banashankari, and vehicles are moving at high speed, posing a danger to children. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.",Road & Potholes
793,"Construction work on the road in Yelahanka has been left incomplete for over a month now, causing huge traffic jams and inconvenience. Many people in the neighborhood are very frustrated with this issue. Kindly look into this matter and resolve it as soon as possible.",Road & Potholes
794,"In Banashankari, construction work continues during peak traffic time, including weekends, causing constant noise and stress for people living nearby. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Noise & Pollution
795,"The transformer near Koramangala is making a loud buzzing noise in the morning, and people fear it might be faulty or overloaded. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
796,Open garbage dumping near the residential area in Rajajinagar is causing a foul smell and unhygienic conditions. Residents have complained multiple times but no proper action is taken. Kindly look into this matter and resolve it as soon as possible.,Garbage & Sanitation
797,"In Banashankari, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
798,Uncollected garbage is piling up on the streets in Jayanagar since last night. The overflowing dustbins are attracting stray animals and insects. Senior citizens and children are facing a lot of problems. Kindly address this problem before it leads to any serious incident.,Garbage & Sanitation
799,"In Malleshwaram, construction work continues in the evening, including weekends, causing constant noise and stress for people living nearby. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
800,Open garbage dumping near the residential area in Banashankari is causing a foul smell and unhygienic conditions. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.,Garbage & Sanitation
801,"In Yelahanka, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Water Supply
802,"Buses starting from Rajajinagar are always overcrowded during office hours, making it difficult for elderly people and women to board. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Public Transport
803,"In BTM Layout, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Water Supply
804,"There are frequent power cuts in Sarjapur Road in the morning, and no proper schedule is communicated to the residents. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
805,"The transformer near Indiranagar is making a loud buzzing noise during peak traffic time, and people fear it might be faulty or overloaded. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
806,"Loudspeakers from a function hall in Malleshwaram are playing music at very high volume during office hours, disturbing the entire neighborhood. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
807,"People in Jayanagar are burning dry leaves and plastic waste during peak traffic time, leading to thick smoke and breathing problems for residents. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
808,"After the recent rains, the road surface in Basavanagudi has completely worn out, and there are cracks and uneven patches everywhere. This is causing inconvenience to office-goers and school children. Kindly look into this matter and resolve it as soon as possible.",Road & Potholes
809,"There are very few buses available from BTM Layout in the morning, and passengers are forced to wait for a long time at the bus stop. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
810,"Buses starting from MG Road are always overcrowded during office hours, making it difficult for elderly people and women to board. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
811,Uncollected garbage is piling up on the streets in Hebbal for the past 10 days. The overflowing dustbins are attracting stray animals and insects. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.,Garbage & Sanitation
812,"The road in Electronic City is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Many people in the neighborhood are very frustrated with this issue. We request the concerned department to take immediate action.",Noise & Pollution
813,The main road in Yelahanka is full of deep potholes for the past 10 days. Vehicles are getting damaged and it is very risky for two-wheelers. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.,Road & Potholes
814,"In Sarjapur Road, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. This is causing inconvenience to office-goers and school children. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
815,"People in BTM Layout are burning dry leaves and plastic waste during peak traffic time, leading to thick smoke and breathing problems for residents. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.",Noise & Pollution
816,"After the recent rains, the road surface in Hebbal has completely worn out, and there are cracks and uneven patches everywhere. This is affecting our work and health on a daily basis. We would be grateful if this issue is treated as high priority.",Road & Potholes
817,"There is a major leakage in the main water pipeline near Sarjapur Road, resulting in wastage of thousands of litres of water every day. This is affecting our work and health on a daily basis. Kindly address this problem before it leads to any serious incident.",Water Supply
818,"Electric wires are hanging very low from the electric poles in Basavanagudi, creating a serious safety hazard for people walking nearby. It is becoming very difficult for us to manage our daily routine. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
819,"There are very few buses available from Yelahanka early in the morning, and passengers are forced to wait for a long time at the bus stop. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
820,Open garbage dumping near the residential area in Indiranagar is causing a foul smell and unhygienic conditions. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.,Garbage & Sanitation
821,Auto drivers operating from Hebbal are refusing to go by meter and are charging very high fares from passengers. Residents have complained multiple times but no proper action is taken. Kindly register this as a complaint and share the action taken details.,Public Transport
